"Titel","Omschrijving","datum","begin","einde","Plaats","Indoor","deelnemers"
"ALLADIN en de WONDERLAMP, poppentheater met Pierke van Gent","Poppentheater voor families met kinderen. Dit jaar wordt het Oosterse Sprookje 'Alladin en de Wonderlamp' opgevoerd, waar ook Pierke een belangrijke rol in speelt.  Het verhaal is gekend: Alladin een arme jongen wordt een Prins uit 1001 nachten.",22/07/2011,"14:30","16:15","François Laurent Instituut, Onderstraat 10, Gent",1,1000
"In de voetsporen van de Vlaamse Beweging in Gent,","Met gastheer : ere-senator Oswald Van Oothegem. We ontdekken historische plekken en figuren in Gent die mee aan de basis lagen van de Vlaamse beweging in Gent.",17/07/2011,"10:30","12:30","Pacificatiehuis, Burgstraat 55, Gent",0,50
"SABIJN aMUZE-ert op 't WATER","Sabijn brengt een totaal show waarin je haar te zien zal krijgen zoals nooit te voren.  Acterend, zingend en Swingend, dansend, schudden en beven en vooral beleven.",18/07/2011,"20:00","22:30","Aquamuse (Schip), Kuiperskaai 24, Gent",1,1000
"Tentoonstelling Orde van de Belleman","Alles over de Belleman",23/07/2011,"10:00","23:55","Novotel, Goudenleeuwplein 5, Gent",1,1000
"Helderziende Sonia Desmadryl","Geeft inzicht via kaartleggen, numerologie en pendelen.",21/07/2011,"14:00","00:00","HETEKOEKJE, Bennesteeg 1-3, Gent",1,50
"Theater op het water i.s.m. theater Trac - ""Ganda Historica""","De toeschouwers worden per open boot naar de acteurs gebracht.Met ""Ganda Literatura"" wordt aandacht besteed aan de Gentse schrijvers Maurice Maeterlinck, Jean Ray, Cyriel Buysse,gezusters Loveling.   Prijs : € 10,00/pers.Reservatie verplicht.",25/07/2011,"18:30","19:30","Aanlegsteiger Gent Watertoerist, Graslei , Gent",0,50
"Zato","Experimentele rock",18/07/2011,"03:00","04:30","Kinky Star, Vlasmarkt 9, Gent",0,50
"Intergalactic Lovers","Podium Kouter",23/07/2011,"23:30","00:40","Kouter, Kouter , Gent",0,10000
"Ginds, tussen de netels","Dimitri Verhulst ontbeent Lorca's Bloedbruiloft en creërt er een totaal nieuwe voorstelling mee. Hij verplaatst de clanvete naar een denkbeeldig Belgisch dorp, 'de hoofdstad der brandnetels'.",17/07/2011,"21:00","22:30","Plantentuin UGent, Karel Lodewijk Ledeganckstraat 35, Gent",1,1000
"Filmvoorstelling  ""Plastic Planet""","We zijn allemaal verslaafd aan plastic. De mensheid vergiftigt zichzelf langzaam maar zeker...  een onthutsende documentaire...",20/07/2011,"14:00","15:40","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Havenrondvaarten met het havenjacht ""Jacob van Artevelde""","Ga tijdens de Gentse Feesten mee op verkenning in de haven. We starten aan de Rigakaai en varen helemaal tot aan ArcelorMittal.  U maakt kennis met alle dokken en met alle belangrijke spelers zoals oa Volvo, Stora Enso, Bio Base Europe, enz",21/07/2011,"14:30","16:00","Rigakaai - tegenover WEBA, Rigakaai 0375, Gent",1,100
"Gast-expo: Tradities in Vlaanderen","Ontdek de foto’s van Nick Hannes over feestcultuur in Vlaanderen aan het begin van de 21ste eeuw: van carnavalsfeesten, suiker- en offerfeesten, autowijdingen en kermiskoersen tot babyborrels en Driekoningenzingen. (ism Volkskunde Vlaanderen vzw)",23/07/2011,"10:00","18:00","Het Huis van Alijn, Kraanlei 65, Gent",0,1000
"Portus Ganda - NIEUW!","De Gentse jachthaven onthult de oudste geschiedenis van de stad: hier werd Gent gesticht, bij de samenvloeiing van Schelde en Leie. Parel van deze buurt is ongetwijfeld de eeuwenoude Sint-Baafsabdij.",17/07/2011,"14:30","16:00","Ingang Van Eyckzwembad, Veermanplein -, Gent",0,50
"Camiel van Breedam, een modern kunstenaar op bezoek in de Etnografische Verzamelingen","De kunstenaar Camiel van Breedam laat zich inspireren door etnografische objecten. Kom een poëtisch deeltje van zijn oeuvre ontdekken en deel zijn verwondering. Wilt u meer weten over deze intrigerende dialoog tussen voorwerpen, vraag het gerust!",18/07/2011,"11:00","17:00","Het Pand, Onderbergen 1, Gent",0,50
"Portus Ganda + Oude Dokken per boot met gratis ijsje.  Duur: 1u45","Met gids van Korenlei, door de sluis, via Portus Ganda en Dampoort naar de Oude Dokken met zijn schitterend stadsvernieuwingsproject en terug. Voor echte kurieuzeneuzen! Tickets afhalen vanaf 1 uur vóór afvaart.",22/07/2011,"17:30","19:15","Aanlegsteiger De Bootjes van Gent-Rederij Dewaele, Korenlei , Gent",0,1000
"Guy J (ISR)","Een israelische electro producer die onlangs een aantal succesvolle releases heeft gehad op Bedrock Records  inclusief zijn debuut album Esperanza.",19/07/2011,"23:00","05:55","10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000
"Dag                                       Figurentheater voor kleuters","Zoveel saaie dagen? Waarom is het niet elke dag mijn verjaardag,Pasen of Nieuwjaar? Titiana ontmoet Dageraad en ze beslissen om van elke dag een ""superdag "" te maken!(drankje incl.)  Tekst;Lien Maes  Regie:Hilde Heÿnen en Alain Pringels",24/07/2011,"14:00","14:45","Capitole - kleine zaal, Graaf van Vlaanderenplein 5, Gent",0,50
"Filmvoorstelling 'The Age of STUPID'","THE AGE OF STUPID    De grootste klimaatfilm sinds ""An Inconvenient Truth""",24/07/2011,"15:30","17:00","Augustijnenklooster Sint-Stefanus, Academiestraat 1, Gent",1,50
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",17/07/2011,"17:00","18:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"Anders durven bewegen, voelen, denken?","#NAME?",21/07/2011,"11:00","12:30","Feldenkrais Gent, Kliniekstraat 69, Gentbrugge",1,50
"Boe-K!","Het is bedtijd, maar Kaat kan echt niet slapen. Ze is haar lievelingsboek kwijt. Daaruit lezen mama of papa altijd een verhaaltje voor en dan valt ze bijna altijd meteen in slaap. Maar nu dus niet.",24/07/2011,"15:00","16:00","Tinnenpot, Tinnenpotstraat 21, Gent",0,100
"Family","Barbaar: Met Dj's Just Nathan & Sixsixsixties vs. Christopher & Collect-Ief De Ruyter",24/07/2011,"00:00","05:55","Charlatan, Vlasmarkt 6, Gent",1,1000
"Verrassingsconcert","Zaal: Try-out van HUn tweede plaat - Sexier dan Das Pop en zelfs vuiler dan Drums Are For Parades",22/07/2011,"22:00","23:00","Charlatan, Vlasmarkt 6, Gent",0,50
"Elga - Het Panopticum","Elga – Het Panopticum dompelt jou onder in de historiek van Gent waar revolutionaire figuren het voortouw namen. Dit levend museum vind je op de speelplaats van het SKI palend aan het Baudelohof. Een productie in samenwerking met het Vermeylenfonds.",21/07/2011,"22:00","22:40","secundair kunstintituut - speelplaats - ingang via Baudelohof, Ottogracht 4, Gent",0,50
"de GVR 6+","Een spannende en grappige voorstelling vol aanstekelijke muziek, zinderende spraakkronkels en betoverende beelden naar de bestseller van Roald Dahl. Regie: Fabio Van Hoorebeke, muziek: Joris Hermy, spel: Lulu Aertgeerts, Jolijn Antonissen en Jeroen Maes.",18/07/2011,"14:30","15:25","Toren van Babel, Bargiekaai 1, Gent",0,1000
"Openluchtatelier/kunstmarkt","Openluchtatelier met demonstaties van verschillende beeldende kunstenaars   (tekenaars,schilders,portrettekenaars,karikarturen enz.)",18/07/2011,"13:00","19:00","Groentenmarkt, Groentenmarkt , ",0,50
"Kinderactiviteit : vijverwriemels","Neem zelf een waterstaal uit de vijver en onderzoek het onder een microscoop. Dagelijks om 9u stipt. Ingang via Plantentuin.Reserveren nodig.",20/07/2011,"09:00","10:20","Museum voor Dierkunde, Karel Lodewijk Ledeganckstraat 35, Gent",0,50
"Boottocht met Hanneke Tanneke Toverheks + gratis ijsje. Duur 40 min.","Vaar mee met Hanneke Tanneke: een lelijke, vrolijke, superslordige heks die de Gentse wateren tijdens de Feesten onveilig maakt. Kleuters en kinderen tot 8 jaar helpen Hanneke om een heel speciale toverdrank te brouwen.",21/07/2011,"16:00","16:40","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"Down+Out (BE)","Down + Out zijn Garreth Mc Mullan en The Michael. Allebei op hun manier sporen verdiend en nagelaten in menige dj booth en daarbuiten. Verantwoordelijk voor een frisse lijst van internationale gasten die ze naar Gent en Antwerpen haalden.",25/07/2011,"23:00","05:55","10 Days Off - Vooruit, Sint-Pietersnieuwstraat , Gent",0,5000
"De Professor","Mario Fernandez brengt een grappige en leerrijke goochelvoorstelling met een ""échte professor"". Hij doet proeven en toont zijn laatste uitvindingen. Een fascinerende cocktail van proefjes en interessante trucs!  Vanaf 5 jaar.",18/07/2011,"15:00","15:45","Monasterium PoortAckere, Oude Houtlei 56, Gent",1,1000
"Rondleidingen in Hotel d'Hane Steenhuyse","Uitzonderlijk kan het Hotel d'Hane Steenhuyse - een 18de-eeuws stadspaleis - onder begeleiding van een gids worden bezocht.",23/07/2011,"15:30","16:30","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,100
"Antonin Dvorak: Pianokwintet Op. 81","met Prof. Lilia Umnova, Ljudmila Garbuza, Alexander Pavtchinskij, Bart Verhaeghe, Timur Sergeyenia",21/07/2011,"20:00","21:00","KANTL, Koningstraat 18, Gent",0,50
"Tentoonstelling : "" Spiegeltje spiegeltje aan de wand...""","Een tentoonstelling waarbij we teruggaan naar het jaar 1925.Een presentatie uit de collectie van handgemaakte kleren en fantastische hoeden van Vivien Delbaere.",18/07/2011,"14:00","17:00","School van Toen, Klein Raamhof 8, Gent",0,50
"Kunst ten huize van Valérie van Pottelsberghe de la Potterie.","Het publiek maakt enkele scènes mee uit het leven van gravin Valérie Van Pottelsberghe de la Potterie en haar dochter Lucie in 1888.",17/07/2011,"14:00","16:00","Hotel d'Hane Steenhuyse, Veldstraat 55, Gent",1,50
"Kathleen Vandenhoudt & Bruno Deneckere","Openingsconcert door de muzikale Meter en Peter van de barge",18/07/2011,"18:00","19:00","Aanmeerplaats :, Kraanlei , Gent",1,100
"Pluk van de Petteflet 5+","Een minimusicalversie van Annie M.G. Schmidt-klassieker. Regie: Fabio Van Hoorebeke, muziek: Joris Hermy, spel: Charline Catrysse, Pieter Klinck, Tijl Dauwe.",22/07/2011,"17:00","17:55","Toren van Babel, Bargiekaai 1, Gent",0,1000
"Speciale rondleiding ‘Achter de schermen’ in de Etnografische Verzamelingen.","Hoe wordt een voorwerp een museumstuk? Komt elke gift in een vitrine? Werp eens een blik in de reserves. Pas zelf een paar witte handschoenen en betast eens een voorwerp en kom meer te weten over conservatie.   Plaatsen beperkt; reserveren verplicht!",16/07/2011,"14:00","15:30","Het Pand, Onderbergen 1, Gent",0,50
"Boottocht ""Gent Compleet"" + gratis ijsje. Duur: 90 min.","Gegidste boottocht op Leie, Lieve, Ketelvaart & Schelde. Ook doorvaart onder 't Laurentplein. 1000 jaar architectuur en verhalen op het parcours. Tickets afhalen van vanaf 1 uur vóór afvaart, ten laatste 15 minuten vóór afvaart.",19/07/2011,"14:00","15:30","Aanlegsteiger Boat in Gent, bij Gravensteen (50m), Kraanlei , Gent",0,1000
"THEATER TIERET (Be)","Barbie Rama",20/07/2011,"16:30","17:30","Binnenkoer Europees Figurenteatercentrum, Trommelstraat 1, Gent",1,1000
"Expo  Mbongeni BUTHELEZI  (Zuid-Afrika)","Mbongeni BUTHELEZI is opgegroeid in Soweto, Johannesburg. Zijn schilderijen zijn een optimistische weergave van het leven in een township. Hij heeft een techniek ontwikkeld waarbij hij gerecycleerde plastic verpakkingen smelt met een hete lucht blazer.",23/07/2011,"16:00","21:00","tse-tse-art gallery hedendaagse afrikaanse kunst, Sint-Joriskaai 18, Gent",1,50
"Liquid Love Hotel","Een koppel van middelbare leeftijd ontmoet een tegendraads hoertje en een gigolo van weinig woorden. Verborgen agenda’s en een broek vol goesting maken van Liquid Love Hotel een bij momenten hilarische tragikomedie die ook tot nadenken stemt.",17/07/2011,"20:30","22:05","NTGent Arca, Sint-Widostraat 4, Gent",1,1000
"Fabrieken in de Stad","Een duik in ons industriële verleden, van het Gravensteen door het Prinsenhof tot aan de Rabotwijk, met heel wat verrassende ontdekkingen. Onder andere ook een bezoek aan het merkwaardige museum Meerhem op de site van Sint-Jan de Deo.",18/07/2011,"14:00","16:00","Infostand Vizit, Corduwaniersstraat 4, Gent",0,50
"Vivat Vivaldi","Denijs Van Killegem, Ruth Van Killegem, Guy Penson en Jona Kesteleyn brengen Antonio Vivaldi opnieuw tot leven. Denijs kruipt letterlijk onder de pruik van 'il prete rosso', commentarieert en filosofeert. De musici brengen hoogtepunten van Vivaldi.",25/07/2011,"17:00","18:30","Middeleeuwse Crypte, NH Gent Belfort Hotel, Hoogpoort 63, Gent",1,100
"Liquid Love Hotel","Een koppel van middelbare leeftijd ontmoet een tegendraads hoertje en een gigolo van weinig woorden. Verborgen agenda’s en een broek vol goesting maken van Liquid Love Hotel een bij momenten hilarische tragikomedie die ook tot nadenken stemt.",20/07/2011,"20:30","22:05","NTGent Arca, Sint-Widostraat 4, Gent",1,1000
"CIE ARESKI (Fr)","Vagabundo",21/07/2011,"16:30","17:30","Binnenkoer Europees Figurenteatercentrum, Trommelstraat 1, Gent",1,1000
"Cartoontentoonstelling ""Selecte (Gentsche) humor""","Gentse e.a. cartoonisten stellen voor uit hun eigen werk.",22/07/2011,"11:00","15:00","Hof Van Ryhove, Onderstraat 20, Gent",1,100
"Goe Bezig!","Martin zwiept zijn bezem doorheen de heetste hangijzers die ons dagelijks schaamteloos worden aangereikt. De Dalai Lama, Luc Versteylen, Roger Van Gheluwe - en verder veel ander nieuws over onze politici en over uzelf...",22/07/2011,"19:30","20:45","Zaal Ovaki, Ham 139, Gent",0,50
"Sherlock Holmes in het Patershol (zoektocht zonder gids)","Zoektocht in 1 van Gents oudste en gezelligste wijken. Aan de hand van een leidraad, vragen en raadsels leer je het Patershol beter kennen. Boekje te koop: Kunstglasramen Mestdagh, Drabstr. 2",19/07/2011,"00:00","00:00","Sint-Veerleplein /, Gent",0,50
"Travestieshow Feerie au paradis","Travestieshow maar op zijn parijse wijze met pluimen strass pailletten .Met prachtige  kostuums zoals in de moulin rouge,glamour numers,comische acts,prachtig   decor,sfeervolle zaal.En dit jaar md zaza en haar dancers erbij!",21/07/2011,"20:30","23:30","de kring, Sint-Godelievestraat 59, Wondelgem",1,100
"MiramirO laat je vliegen - Aérosculpture (FR) - € 3 (ter plaatse)","De Aéroplume komt naar Gent! Op 21 juli 2011 tonen de mannen van Aérosculpture hoe het moet. De volgende dagen mogen kinderen zelf vliegen met de zeppelin in ’t Kuipke. Gewoon komen kijken kan natuurlijk ook!",24/07/2011,"14:00","18:00","'t Kuipke, Citadelpark z/n, Gent",0,50
"KOEN CRUCKE 'Op z'n best!'","Muzikale duizendpoot Koen Crucke brengt samen met het Willy Claes Kwartet een totaal nieuwe show: musical, opera, operette, chansons, jazz, evergreens en Gentse liederen, het komt allemaal aan bod.  (verschillende prijscategorieën: € 20 / € 15 / € 8,5)",18/07/2011,"20:00","22:15","Vlaamse Opera Gent - Theaterzaal, Schouwburgstraat 3, Gent",0,1000
"Ólafur Arnalds (I.C.)","Box Kouter",20/07/2011,"21:50","22:20","Kouter, Kouter , Gent",0,10000
"Raad eens hoeveel ik van je hou 3+","Een muzikale kleutervoorstelling gebaseerd op de wereldberoemde bestseller van Sam McBratney en Anita Jeram. Vertaling en spelbegeleiding: Fabio Van Hoorebeke, spel: Anne Van Opstal, Jolijn Antonissen en Michaël Zanders.",25/07/2011,"11:00","11:50","Toren van Babel, Bargiekaai 1, Gent",0,1000
"Bij de buren op bezoek!","Een wandeling door de wijk Sluizeken met bezoek aan een Turkse kruidenier en bazaar. De wijk illustreert de samenlevingsopbouw met vallen en opstaan van twee culturen. In de moskee hoort u het verhaal over het beleven van de Islam door Gentse moslims.",23/07/2011,"14:00","17:00","Café Trefpunt, Bij Sint-Jacobs 18, Gent",0,50
"MARCEL | Het Broodthaerskabinet","S.M.A.K. vatte het plan op om de kunstwerken en archiefstukken van Marcel Broodthaers uit de collectie permanent en op een vaste plek in het museum te presenteren.  Het voorstel van architecten de vylder vinck taillieu werd geselecteerd.",18/07/2011,"10:00","18:00","S.M.A.K., Citadelpark 2, Gent",0,50
"Assistentie voor personen met een handicap","Gedurende de volledige periode van de Gentse Feesten is er de mogelijkheid om een gratis assistent te vragen om personen met een handicap te begeleiden om zo de Gentse Feesten te kunnen bezoeken. Dit jaar wordt de assistentie uitgevoerd door vzw Intro.",19/07/2011,"14:00","23:00","AC Zuid, Woodrow Wilsonplein 1, Gent",0,100
"AUDIOGIDSEN GRATIS - volwassenen en kinderen","Audiogidsen GRATIS voor volwassenen en kinderen tijdens GF",24/07/2011,"10:00","18:00","Museum voor Schone Kunsten, Citadelpark , Gent",0,50
"La ville qui respire - Rode Boom (BE) - € 6","‘La ville qui respire’ is een wandelvoorstelling waarbij een gids met behulp van poëtische zoekers u de stad toont. U neemt de tijd om alledaagse dingen in een andere context te zien. Gent, door de ogen van een poëet.",23/07/2011,"16:00","16:45","Sint-Baafssite, Gandastraat , Gent",0,50
"Levende Jukebox in Groot Vleeshuis","It's alive!Er zit leven in deze machine!  De Human Jukebox brengt de essentie van een eeuw Belgische muziek.  Het publiek kan kiezen uit een ruim repertoire. De inworp is vrij.",20/07/2011,"14:00","18:00","Het Groot Vleeshuis, Groentenmarkt 7, Gent",1,100
"Luc Devos","Muziek",24/07/2011,"11:30","12:30","Lakenhalle, Sint-Baafsplein , Gent",1,100
"Expo 'Katoenkabaal'","Gent was ooit de rumoerigste van de Vlaamse textielsteden. In het MIAT zie je de evolutie van katoenplant tot afgewerkt product. Ontdek ook de vele eigenschappen van textielvezels en het hoogtechnologisch textiel.",16/07/2011,"10:00","18:00","MIAT, Minnemeers 9, Gent",0,100
"The Whodads","Zaal: Rockabilly Day presenteert - Mariachi meets Rockabilly, Tito Puente meets John Barry o.l.v. Steven Jansens",19/07/2011,"22:00","00:00","Charlatan, Vlasmarkt 6, Gent",0,1000
"Ontbijt","Uitgebreid ontbijtbuffet (verse koeken, broodjes, omeletten, spek, fruitsap, koffie, thee enz...) Reservatie bevestigd bij betaling en afhaling kaarten. Zitplaatsen verzekerd !",19/07/2011,"09:00","10:15","Brasserie Het Volk, Poel 7, Gent",0,50
